Time,Unnamed: 1,Open,High,Low,Close,Volume
2004.08.03,00:00,1.2021,1.2074,1.1991,1.2047,12455
2004.08.04,00:00,1.2046,1.2066,1.1968,1.205,12819
2004.08.05,00:00,1.2048,1.2072,1.2019,1.2054,9179
2004.08.06,00:00,1.2055,1.2289,1.2043,1.2278,11849
2004.08.09,00:00,1.2282,1.2288,1.2244,1.2266,9192
2004.08.10,00:00,1.2266,1.2317,1.222,1.2227,10192
2004.08.11,00:00,1.2227,1.2247,1.2194,1.2222,9140
2004.08.12,00:00,1.2221,1.2301,1.2214,1.2247,9827
2004.08.13,00:00,1.2248,1.2373,1.2175,1.2372,12372
2004.08.16,00:00,1.2374,1.238,1.2314,1.2352,10216
2004.08.17,00:00,1.2355,1.2386,1.2307,1.2349,10408
2004.08.18,00:00,1.2348,1.2363,1.2285,1.2334,8285
2004.08.19,00:00,1.2333,1.2377,1.2332,1.2366,9292
2004.08.20,00:00,1.2367,1.238,1.2277,1.2319,9785
2004.08.23,00:00,1.231,1.2315,1.213,1.2138,10399
2004.08.24,00:00,1.2139,1.2165,1.2059,1.2076,11495
2004.08.25,00:00,1.2076,1.2114,1.205,1.2083,11103
2004.08.26,00:00,1.2082,1.2119,1.2041,1.2102,10439
2004.08.27,00:00,1.2103,1.2134,1.2003,1.201,10103
2004.08.30,00:00,1.201,1.2067,1.1986,1.2049,6995
2004.08.31,00:00,1.205,1.2193,1.2042,1.2178,7106
2004.09.01,00:00,1.2178,1.2218,1.2142,1.2191,5607
2004.09.02,00:00,1.219,1.2197,1.214,1.2165,5091
2004.09.03,00:00,1.2166,1.2193,1.2039,1.2056,6032
2004.09.06,00:00,1.206,1.2077,1.2048,1.2064,2894
2004.09.07,00:00,1.2067,1.2109,1.2052,1.2102,5230
2004.09.08,00:00,1.2105,1.219,1.2025,1.2176,6489
2004.09.09,00:00,1.218,1.2235,1.2157,1.2231,7039
2004.09.10,00:00,1.2231,1.2309,1.2195,1.2258,7653
2004.09.13,00:00,1.2269,1.2286,1.222,1.2258,5609
2004.09.14,00:00,1.2258,1.2292,1.2224,1.2245,6894
2004.09.15,00:00,1.2246,1.2258,1.2132,1.2148,7696
2004.09.16,00:00,1.2148,1.2195,1.2119,1.2184,6966
2004.09.17,00:00,1.2186,1.222,1.2155,1.2186,5691
2004.09.20,00:00,1.2172,1.2178,1.2123,1.217,5229
2004.09.21,00:00,1.2171,1.2344,1.2166,1.2326,6814
2004.09.22,00:00,1.2328,1.233,1.2224,1.2262,6352
2004.09.23,00:00,1.226,1.2332,1.2252,1.2262,7355
2004.09.24,00:00,1.2263,1.2359,1.2235,1.2271,7591
2004.09.27,00:00,1.2281,1.2313,1.2247,1.2297,6349
2004.09.28,00:00,1.2296,1.2346,1.2279,1.2323,6927
2004.09.29,00:00,1.2323,1.234,1.2287,1.233,6726
2004.09.30,00:00,1.233,1.2442,1.2313,1.2427,7940
2004.10.01,00:00,1.2427,1.2435,1.2384,1.2411,6481
2004.10.04,00:00,1.2394,1.2398,1.2254,1.2283,6277
2004.10.05,00:00,1.2285,1.2328,1.226,1.2308,6306
2004.10.06,00:00,1.2309,1.2321,1.2246,1.2281,6360
2004.10.07,00:00,1.228,1.2313,1.2271,1.2284,5743
2004.10.08,00:00,1.2285,1.2432,1.2283,1.2409,7092
2004.10.11,00:00,1.2417,1.242,1.237,1.2382,4339
2004.10.12,00:00,1.2383,1.239,1.2285,1.2323,6197
2004.10.13,00:00,1.2322,1.2355,1.2224,1.2336,6637
2004.10.14,00:00,1.2336,1.2418,1.2319,1.238,7018
2004.10.15,00:00,1.2382,1.2506,1.2374,1.2467,7843
2004.10.18,00:00,1.2474,1.2533,1.246,1.2489,5854
2004.10.19,00:00,1.2489,1.2525,1.2451,1.2515,6983
2004.10.20,00:00,1.2513,1.2626,1.2496,1.2578,7312
2004.10.21,00:00,1.2579,1.265,1.257,1.261,7641
2004.10.22,00:00,1.261,1.2684,1.2597,1.2681,7144
